Year,Set Number,Main Category,Specific Topic,Core Discussion Question,Other Questions,Suggested Vocabulary or Key Points,Source
2014,9.3,Education / Social Issues,Study Time Curfew,Discuss whether 'Study Time' should be introduced in Hong Kong.,Benefits and negative effects; implementation feasibility.,Discipline/focus; preventing street fights; parental monitoring; fines for not studying; group vs. alone study.,9
2014,10.1,Social Issues / Family,Discipline and Power,Discuss if children have too much power if they are not disciplined.,Power dynamics in HK families; positive and negative effects of discipline.,Child-centered approach; boundaries; anxiety/self-harm; democratic parenting; punishment types; over-protection.,9
2014,10.2,School Life / Culture,Youth Dance Group,Discuss a presentation to encourage classmates to join a dance group.,Interest in dancing; learning outcomes; promotion activities.,Self-awareness; performing on stage; Hip Hop/Modern dance; transformative experience; Solo vs. Group; traditional vs. modern.,9
2014,10.3,School Life / Media,Magazine Subscription,Discuss which magazine is most suitable for the school library.,Pros and cons of choices; final selection; other recommended types.,Gadgets vs. Travel vs. Fashion; educating vs. entertaining; popularity with teens; online vs. print; value for money.,9
2013,1.1,Education / Technology,YouTube Learning,Discuss learning English through YouTube and social networking.,Methods for learning; alternative ways outside the classroom; advice for self-learners.,Learning through fansubbing; informal and playful character of online interaction; providing advice to self-learners; potential of social networking sites.,10
2013,1.2,School Life / Health,Cooking Classes,Discuss if HK secondary schools should have compulsory cooking classes.,Reasons youth can't cook; benefits and problems; curriculum content.,"Reasons for young people's lack of cooking skills; benefits and problems of compulsory classes; curriculum content (e.g., nutrition, portion sizes).",10
2013,1.3,Health / Well-being,Long Life Secrets,Discuss content for a talk about achieving a long life for Live Well Week.,Choice of factors; most important rule; Live Well Week activities.,"Factors like family support, non-smoking/drinking, regular diet, sleep, exercise, and positive mindset; identifying the most important rule.",10
2013,2.1,Education / Work,Apprenticeships,Discuss introducing Swiss apprenticeship programmes to students.,Differences from traditional schooling; parental/student openness; employer support.,Differences from traditional schooling; openness of parents and students; securing support from employers; vocational education and training (VET).,10
2013,2.2,Society / Community,Empty Shop Projects,Discuss 'empty shop projects' for community events in a letter.,Benefits and problems in HK; activity ideas; encouraging organizers.,"Benefits and problems of using shop-spaces; suitable activities (exhibitions, performances, clinics); encouraging participation from companies and charities.",10
2013,2.3,Hong Kong Culture / Food,'Strange' HK Food,Produce a brochure for tourists about special local food in HK.,Strange food types; tourist perceptions; making food attractive in brochures.,"Examples like thousand-year-old eggs, chicken feet, sea slugs, and turtle soup; reasons for tourist perception; making foods more attractive.",10
2013,3.1,Health / Environment,Keep Fit Activities,Choose an unusual activity for a school Health Awareness Fun Day.,Activity suitability; organizational problems; alternative activities.,"Activities: photo racing, household chores, lion dancing; suitability for students; potential organizational problems.",10
2013,3.2,Hong Kong Culture / Teenagers,Overseas Teens Website,Improve a website for overseas teenagers moving to Hong Kong.,Information needs for newcomers; content retention; website attractiveness.,"Teenagers' needs (transport, tourism, culture); identifying essential info; website attractiveness and usability.",10
2013,3.3,Technology / Safety,Cyber Crime,Give a presentation about cyber crime for the Computer Club.,Occurrence reasons; importance of protection; protection methods.,"Causes of cyber crime; importance of protection; safety steps (complex passwords, avoiding public computers, regular changes).",10
2013,4.1,Environment / Ethics,Cruel Foods,Prepare for a debate on not eating food from animals cruelly treated.,Cruel food examples; arguments for and against the motion.,"Examples of 'cruel foods' (foie gras, shark's fin, live lobster); animal rights; arguments for and against the ban.",10
2013,4.2,Health / Sports,Contact Sports,Discuss whether teenagers should participate in full contact sports.,Opposition reasons; benefits to teenagers; school introduction difficulties.,Safety concerns vs. physical benefits; definition of contact levels; difficulties of school introduction; perception of brutality.,10
2013,4.3,Environment / Society,Simple Living,"Organise a course on simple living, including living in the countryside.",Learned skills; benefits and problems; alternative activities.,Skills learned from nature; benefits and problems of simple living; quality of life vs. urban convenience.,10
2013,5.1,Technology / Mental Health,Brain Downtime,Discuss how smartphones/tablets are changing the lives of HK youth.,"Effects on brains, behavior, and relationships.",Loss of 'downtime' and 'quiet time'; effects on memory and learning; impact on social relationships and fatigue.,10
2013,5.2,Mental Health / Society,Clutter Effects,Write an article about the effects of having too much clutter in the home.,Reasons for hoarding; effects of clutter; disposal of items.,Emotional baggage and attachment to items; stress and anxiety caused by mess; de-cluttering for mental relief.,10
2013,5.3,Hong Kong Culture / Society,Luxury Brand Trends,Gather information about luxury brand shopping trends in Hong Kong.,Reasons brands open in HK; advantages and problems; additional project info.,High spending on luxury; international brands' expansion; advantages and problems of consumerism; influence of tourism.,10
2013,6.1,Technology / Society,Home Robots,Write a report about the use of robots in the home.,Services provided; disadvantages; future robot ideas.,"Services provided (cleaning, pet care, security); disadvantages of home robotics; future robot concepts.",10
2013,6.2,Global Issues / Technology,Mars One Project,Give a presentation on humans living on other planets.,Pros and cons of Mars One; survival issues; move motivation.,One-way trip implications; scientific vs. social knowledge; reasons for moving to other planets.,10
2013,6.3,Technology / Mental Health,Video Games as Art,Debate: 'Computer games are beneficial for young people'.,Games as art; benefits of playing; counter-arguments.,"Emotional engagement and complexity in gaming; mixture of graphics, music, and interactivity; artistic value vs. traditional forms.",10
2013,7.1,Hong Kong Culture / Society,Pets as Children,Discuss the increasing importance of dogs as pets in Hong Kong.,Reasons for pet importance; activities with dogs; pros and cons of time spent.,"High cost of raising children; emotional bonds (oxytocin); specialized pet services (restaurants, psychologists); advantages and problems of intense pet focus.",10
2013,7.2,Hong Kong Culture / Music,Cantopop Decline,Propose a project focusing on Cantopop for the popular culture elective.,Topic suitability; proposal content; popularity trends today.,Impact of illegal downloading and new media; competition from K-Pop/J-Pop; limited thematic range (over-focus on love songs); collective memory.,10
2013,7.3,Mental Health / Teenagers,Peer Pressure,Give a presentation about peer pressure experienced by HK teenagers.,Types of pressure; positive and negative influences; coping strategies.,Positive vs. negative pressure (studying vs. drug use); factors like age and gender; strategies for coping with pressure; need for belonging.,10
2013,8.1,Technology / Education,Class Blogging,Discuss how to convince a teacher to allow a group class blog.,Benefits and problems; blog topics; using survey data for persuasion.,"High local engagement in reading/writing blogs; popular topics (news, travel, food); issues of trust and information quality.",10
2013,8.2,Mental Health / School Life,Solving Conflicts,Give a talk to S1 about working with people and solving group conflicts.,Difficulties in groups; conflict resolution ways; benefits of teamwork.,"Concept of 'unhooking' (physically, mentally, verbally); difficulties of group work; benefits of cooperation.",10
2013,8.3,Global Issues / Society,Beauty Standards,Discuss whether Western forms of beauty are the ideal.,Beauty beliefs for men/women; eye colour criteria; Western beauty as ideal.,Popularity of coloured contact lenses and eye surgery; conforming to global vs. local standards; technological procedures to change eye colour.,10
2013,9.1,Hong Kong Culture / Tradition,Street Markets,Design an exhibition on 'Hong Kong's Identity and Traditions' for school.,Article ideas; other traditional aspects; fun presentation methods.,Symbolism of red street-market lamps; character of wet markets; presenting traditions in fun/humorous ways.,10
2013,9.2,Education / Technology,Calculators in School,Debate: 'Calculators should NOT be banned in primary schools'.,Advantages and problems of use; ban agreement.,Dependency on technology; mental arithmetic skills; outperforming others without aids; grounding in basics.,10
2013,9.3,Education / Literature,Reading Fiction,Choose English books for the Reading Club based on a review.,Recommendation of 'Hero on a Bicycle'; book choices; benefits/challenges of fiction.,Book reviews; themes of courage/history vs. fantasy/magic; emotional impact of stories.,10
2013,10.1,Global Issues / School Life,Chind?gu (Inventions),Set up a Chind?gu Society for the school's Society Day.,Society aims; unique selling points; invention-based promotion.,"Rules of Chind?gu (real, useless, for daily use); examples: Baby Mop, Noodle Cooler; promoting creativity.",10
2013,10.2,Society / School Life,Table Manners,Conduct a workshop on dining etiquette for Mind Your Manners Week.,Rude behaviors; traditional vs updated rules; most important rule.,Informal vs. formal rules; mobile phone etiquette at the table; cultural differences; importance of hygiene.,10
2013,10.3,Education / Society,Parenting Success,Make a presentation to parents about helping children succeed.,HK parental strategies; child motivation; advice for parents.,"The '10,000 hours' rule; failure of external rewards (money, stickers); pushing children to find internal passion.",10
